id, username, display_name, created_at, channel_type, country, uploads, subscribers, views, grade
UC56gTxNs4f9xZ7Pa2i5xNzg, sonymusicindiasme, Sony Music India, 2009-09-02, musicIndia, 2813, 43700000, 19055949295, N/A
UCYiGq8XF7YQD00x7wAd62Zg, juegagerman, JuegaGerman, 2013-05-19, gamesChile, 1812, 43600000, 12556721579, N/A
UC4NALVCmcmL5ntpV0thoH6w, loolookids, LooLoo Kids - Nursery Rhymes and Children's Songs, 2014-08-05, musicUnited States, 498, 42800000, 22603906249, N/A
UCZJ7m7EnCNodqnu5SAtg8eQ, holasoygerman, HolaSoyGerman., 2011-09-08, entertainmentChile, 136, 42500000, 4522361953, N/A
UCqECaJ8Gagnn7YCbPEzWH6g, taylorswift, Taylor Swift, 2006-09-20, musicUnited States, 188, 42500000, 22143995079, N/A
UCK1i2UviaXLUNrZlAFpw_jA, reinomariaelenawalsh, El Reino Infantil, 2011-06-02, musicArgentina, 998, 42300000, 40251490124, N/A
UC3KQ5GWANYF8lChqjZpXsQw, whinderssonnunes, whinderssonnunes, 2013-01-21, comedyBrazil, 389, 42400000, 3800864272, N/A
UCV4xOVpbcV8SdueDCOxLXtQ, Fernanfloo, Fernanfloo, 2011-05-02, gamesEl Salvador, 539, 42000000, 9179897114, N/A
UCV306eHqgo0LvBf3Mh36AHg, felipeneto, Felipe Neto, 2006-05-16, entertainmentBrazil, 2506, 42000000, 12761474821, N/A
UCJrDMFOdv1I2k8n9oK_V21w, tipsmusic, Tips Official, 2007-05-22, musicIndia, 3037, 41500000, 20191291239, N/A
UCiGm_E4ZwYSHV3bcW1pnSeQ, iGm_E4ZwYSHV3bcW1pnSeQ, Billie Eilish, 2013-02-06, musicUnited States, 35, 40900000, 9138371590, N/A
UCYvmuw-JtVrTZQ-7Y4kd63Q, KatyPerryMusic, Katy Perry, 2008-06-01, newsUnited States, 107, 40600000, 21883991678, N/A
UCaayLD9i5x4MmIoVZxXSv_g, tseriesbhakti, T-Series Bhakti Sagar, 2011-02-13, musicIndia, 21940, 40500000, 17854948189, N/A
UC4rlAVgAK0SGk-yTfe48Qpw, 4rlAVgAK0SGk-yTfe48Qpw, BRIGHT SIDE, 2017-03-15, howtoUnited States, 3890, 40400000, 8454609332, N/A
UCj0O6W8yDuLg3iraAXKgCrQ, vcsabiavideos, Você Sabia?, 2013-09-01, entertainmentBrazil, 1183, 40400000, 6346993115, N/A
UCXazgXDIYyWH-yXLAkcrFxw, elrubiusOMG, elrubiusOMG, 2011-12-20, entertainmentSpain, 832, 39900000, 9179629915, N/A
UC55IWqFLDH1Xp7iu1_xknRA, colorstv, Colors TV, 2008-06-13, entertainmentIndia, 54649, 39500000, 33366372865, N/A
UCbTLwN10NoCU4WDzLf1JMOA, yrf, YRF, 2006-06-07, musicIndia, 2828, 39600000, 22480760676, N/A
UCJrOtniJ0-NWz37R30urifQ, djwalkzz, Alan Walker, 2012-08-25, musicNorway, 258, 39300000, 10076877199, N/A
UCp0hYYBW6IMayGgR-WeoCvQ, theellenshow, TheEllenShow, 2006-11-21, entertainmentUnited States, 13026, 37900000, 21625498694, N/A
UCS94J1s6-qc8v7btCdS2pNg, S94J1s6-qc8v7btCdS2pNg, Like Nastya Show, 2017-11-14, entertainmentUnited States, 420, 37800000, 16699252193, N/A
UCcgqSM4YEo5vVQpqwN-MaNw, Rihanna, Rihanna, 2005-11-06, entertainmentBarbados, 79, 37200000, 17733183248, N/A
UCKAqou7V9FAWXpZd9xtOg3Q, LittleBabyBum, Little Baby Bum - Nursery Rhymes & Kids Songs, 2011-06-22, educationUnited States, 1538, 36400000, 33050636402, N/A
UCECJDeK0MNapZbpaOzxrUPA, luisitocomunicaa, Luisito Comunica, 2012-04-15, comedyMexico, 1009, 36200000, 6377833224, N/A
UCOsyDsO5tIt-VZ1iwjdQmew, speedrecordss, Speed Records, 2012-11-22, musicIndia, 9273, 35900000, 20148315200, N/A
UC3MLnJtqc_phABBriLRhtgQ, sonymusicindiaVEVO, SonyMusicIndiaVEVO, 2009-09-02, musicUnited States, 3142, 35600000, 18351758680, N/A
UCb2HGwORFBo94DmRx4oLzow, onedirectionchannel, One Direction, 2010-12-03, musicUnited Kingdom, 157, 35600000, 11469519526, N/A
UClZkHt2kNIgyrTTPnSQV3SA, getmovies, Get Movies, 2006-12-16, entertainmentRussian Federation, 2981, 35500000, 25774792451, N/A
UCYfdidRxbB8Qhf0Nx7ioOYw, YfdidRxbB8Qhf0Nx7ioOYw, News, 2013-09-09, Unspecified, 0, 35500000, 0, N/A
UC1ciY6kR3yj3kaKZ6R7ewAg, Infobellshindirhymes, Infobells - Hindi, 2014-06-06, educationIndia, 406, 34900000, 18635353002, N/A
UC_gV70G_Y51LTa3qhu8KiEA, luccasneto, LUCCAS NETO - LUCCAS TOON, 2014-07-31, entertainmentBrazil, 1357, 34800000, 15965703498, N/A
UCRv76wLBC73jiP7LX4C3l8Q, mashamedvedtv, Маша и Медведь, 2011-05-31, filmRussian Federation, 952, 34300000, 28468475853, N/A
UCNUQK9mQoqi4yNXw2_Rj6SA, Gr6explode, GR6 EXPLODE, 2014-08-05, musicBrazil, 3666, 34100000, 19466312437, N/A
UCstEtN0pgOmCf02EdXsGChw, ABSCBNOnline, ABS-CBN Entertainment, 2008-07-16, entertainmentPhilippines, 157307, 34100000, 42283731778, N/A
UCBVjMGOIkavEAhyqpxJ73Dw, Maroon5, Maroon 5, 2006-03-09, musicUnited States, 160, 34000000, 18165375939, N/A
UC9TO_oo4c_LrOiKNaY6aysA, DaddyYankeeOFFTV, Daddy Yankee, 2011-05-16, musicUnited States, 370, 33700000, 17605203566, N/A
UCmBA_wu8xGg1OfOkfW13Q0Q, mBA_wu8xGg1OfOkfW13Q0Q, Bad Bunny, 2014-06-09, musicPuerto Rico, 92, 33500000, 15237870204, N/A
